subtype,regulator,I_R,d_edges,pc,frac,is_ad_pc
Oligodendrocyte,CYSLTR2,0.057908839765168,460,14,0.07094448804855347,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,15,0.0758376345038414,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,16,0.04974482208490372,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,17,0.0680011734366417,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,18,0.039697565138339996,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,19,0.07218601554632187,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,20,0.07591841369867325,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,1,0.007714989595115185,1
Oligodendrocyte,AL353072.2,0.0531048105775289,496,2,0.0492476262152195,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,3,0.04781029745936394,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,4,0.021961435675621033,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,5,0.0365171805024147,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,6,0.03977441042661667,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,7,0.03052346035838127,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,8,0.031687382608652115,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,9,0.046929340809583664,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,10,0.0687156468629837,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,11,0.03358409181237221,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,12,0.04043515399098396,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,13,0.11357969790697098,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,14,0.05057987570762634,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,15,0.061125289648771286,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,16,0.026268431916832924,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,17,0.04496567323803902,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,18,0.04186462610960007,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,19,0.1560077667236328,0
Oligodendrocyte,AL353072.2,0.0531048105775289,496,20,0.05070756748318672,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,1,0.006490423809736967,1
Oligodendrocyte,AL353811.1,0.0500668877265886,484,2,0.0499136820435524,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,3,0.058820705860853195,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,4,0.08405844122171402,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,5,0.0220683254301548,0
